ที่พักราตรี,ฝั่งเดียวกับการไฟฟ้า,212 ม. 1,คุณราตรี
ลือชาเรสซิเด้นท์1,โรงหนังกันตนา,57 ม. 16,พี่ปู
ลือชาเรสซิเด้นท์3,โรงหนังกันตนา,57/2 ม. 16,พี่่เบียร์
หอพักพูนศิลป์,ทางเข้าอ่างแม่ต๋ำ,22 ม. 2 ,คุุณมยุรา ปทุมศิริ
บ้านโชคอนันต์,ทางเข้าอ่างแม่ต๋ำ,410 ม. 2,คุณอรอนงค์ มะโนวงค์
หอพักบุญทิวา,ทางเข้้าอ่างแม่ต๋ำ,59 ม. 2,"คุณประนอม , คุณวอน"
หอพักพลพร,ใกล้สระว่ายน้ำลือชา,821 ม. 16,คุณอัมพร  ปัญญาชนกุล
Papa Apartment,ซอยฝั่งเดียวกับการไฟฟ้า,399 ม. 1,คุณป้ามล ศิริพร
หอพักตั้งเส็ง,ร้านข้าวซอย ก่อนถึงการไฟฟ้า,98/1 ม. 1,คุณนงคลาญ สรวงศิริ
หอพักอากิยาม่า,ฝั่งมอ ใกล้ร้านเจ็บเต้า,1943 ม. 16,คุณภาคิณี ศรีดาวเรือง
หอพักเดอะฟิวเจอร์ ,ฝั่งมอ ใกล้ร้านเจ็บเต้า,465 ม. 16,คุณภิวรรณ ยูชมภู
หอพักบัวทอง,ห่าง 1 กม. จากการไฟฟ้า,237 ม. 16,ป้าจีน แซ่ด่าง
บ้านพักแสนสุข,ห่าง 1 กม. จากการไฟฟ้า,79 ม. 16,ลุงต๋อย
หอพักแสนสุข,ห่าง 1 กม. จากการไฟฟ้า,79 ม. 16,ลุงต๋อย
หอพักหญิงทองคำ,ร้านก๋วยเตี๋ยวกระดูก,129 ม. 1,คุณทองคำ  ค้าสม
หอพักไชยมงคล,เลยสะพานห้วยหลวง,1/1 ม.1,คุณเพ็ญ ไชยมงคล
บ้านพักไชยมงคล,เลยสะพานห้วยหลวง,1/1 ม.1,คุณเพ็ญ ไชยมงคล
หอพักโมจิ,ข้างหอพัก AS,167/1 ม.16,คุณสน คำปัญโญ
หอพักมิตรภาพ,ใกล้สะพานการไฟฟ้า,,คุณจันทร์หอม
หอพักหญิงกาญจนา,ลานจอดรถมอเตอร์ไซค์อของมอ,442 ม.16,คุณกาญจนา
บ้านพักกาญจนา,ลานจอดรถมอเตอร์ไซค์อของมอ,442 ม.16,คุณกาญจนา
บ้านพักภัคนารีโฮม,มหาวิทยาลัย,74 ม. 16,บ้านห้วยหลวง,คุณเยาว์  แก้วสาย
หอพักหญิงศลิษา,ซอยรถเมลล์,70 ม. 16,คุณสายสมร  กองวงศ์
หอพักทิพย์สุดา,ลานจอดรถมอเตอร์ไซค์อของมอ หน้าร้านก๋วยเตี๋ยว,,คุณจรรยา
หอพักหญิงเจริญทรัพย์,ลานจอดรถมอเตอร์ไซค์อของมอ,,คุณสายทอง  จรรยา
หอพักอิงดอยชาย,ลานจอดรถมอเตอร์ไซค์อของมอ,1 ม. 16,คุณมาลี  ถูกดี
หอพักอิงดอยหญิง 1,ลานจอดรถมอเตอร์ไซค์อของมอ,1 ม. 16,คุณมาลี  ถูกดี
หอพักอิงดอยหญิง 2,ลานจอดรถมอเตอร์ไซค์อของมอ,1 ม. 16,คุณมาลี  ถูกดี
หอพักม่อนออมสิน,ใกล้ศูนย์แพทย์ หลังร้านก๋วยเตี๋ยวกระดูก,399 ม. 16,คุณนฤมล ถูกดี
หอพักสมอคำ (ตึก),ตรงข้าม one more up,149 ม. 2,คุณอุษา สมอ
หอพักสมอคำ (อาคารไม้),ตรงข้าม one more up,149 ม. 2,คุณอุษา สมอ
หอพักวชิรา,ซอยตรงข้าม one more up,584 ม. 2,พี่อ้อม
ศิวาพรเรสซิเดนซ์,ก่อนทางเข้า มจร.,897 ม. 16,คุณศิวาพร วงศ์ประสิทธิ์
หอพักนาน่า,ฝั่ั่งเดียวกับ one more up เลยมาทางมอ,309/2 ม. 16,คุณสมบูรณ์ อุ่นแก้ว
หอพักกนกพร,ซอยศาลาเหลือง ก่อนถึง one more ขามาจากลำปาง ซอยหอวิว,399 ม. 2,คุณกนกพร
วันแก้ว แมนชั่น,ตลาดสดแม่กา,108 ม.12 ,คุณ ธวัชชัย คล่องแคล่ว
หอพักปินใจ,,286 ม.2,คุณ อุเทน ปินใจ
หอพักนที,,272 ม.2,รุจิรา
บ้านพักสุลกาศ,หลังวันมอ,347 ม.2,นาย ปณาวุฒิ กาศเจริณ
รสา ดาริน เพลส,ใกล้หอแฟรนด์,,นาง ปริมนา นันทะชาติ
หอพักหญิง ขุมแร่,อาคารสีส้ม ร้านขุมาช๊อป.5ที ??,719 ม.16,ณาญหาญ
การ์เด้นโฮม,ทางเข้าอ่างแม่ต๋ำ,349 ม.2,นาง ลัดดา กฤษณาทร
หอพักชายคำปินไชย,เซเว่นข้างตลาดสดแม่กา,522 ม.2,นาง สุจิต์ คำปินไชย
สบายโฮมสเตย์,ร้านกาแฟ Add mone cake,277 ม.16,นาง จิตตวีร์ กีรติศักดิ์วรกุล
หอพักหญิง สมคิด,ซุ้มสิงค์,715 ม.16,นาง สมคิด คำมา
นภาพล,เลยเเซบหน้ามอ ,301 ม.16,น.ส.ชลธิชา ลอยนวล
วชิระ 2,กรีนวิง,311 ม.16,วชิระ ราชเนตร์
วชิระ 1,กรีนวิง,,วชิระ ราชเนตร์
วชิระ 3,PJ ไนท์,,วชิระ ราชเนตร์
หอพัก ยิ่งค้ำคูณ,ใกล้หอแฟรนด์,115 ม.16,จันทร์ เผ่าฟาละ
หอหญิงราชพฤกษ์,ใกล้ตลาดศาลาเหลือง,216 ม. 16,น.ส.นิตยา สมใจ
หอหญิง วรวิทย์,หลังแซบหน้ามอ,742 ม.16,นงคลาญ คำมา
หอวิทยา,หอเขม,,คุณมาลี
หอพักหญิง เฟรนด์,ซอยโลตัสหน้ามอ,273/16 ,ป้้าภา
